Player,Position,Height,Weight,40 Yard,Bench,Vertical
"Toth, Brett",OL,6060,305,5.4,25,28
"Senat, Greg",OL,6062,305,5.24,19,26
"Smith, Braden",OL,6062,315,5.24,35,33.5
"Jones-Smith, Jaryd",OL,6064,317,5.24,16,27
"O'Neill, Brian",OL,6067,297,5.4,22,29.5
"Leonard, Rick",OL,6070,305,5.33,19,24
"Parker, Brandon",OL,6075,305,5.24,25,28.5
"Brown, Orlando",OL,6077,345,5.39,14,28
"McGlinchey, Mike",OL,6077,309,4.95,24,28.5
"Miller, Kolton",OL,6085,309,5.24,24,31.5
"Flowers, Quinton",QB,5990,210,4.82,19.5,30
"Allen, Austin",QB,6003,209,4.81,19.5,30
"Mayfield, Baker",QB,6005,232,4.92,19.5,29
"Barrett, J.T.",QB,6012,224,4.97,19.5,30
"Etling, Danny",QB,6020,215,4.82,19.5,31
"Jackson, Lamar",QB,6022,216,4.81,19.5,31
"Benkert, Kurt",QB,6025,218,4.86,19.5,31
"Lauletta, Kyle",QB,6025,222,4.98,19.5,31
"Ferguson, Riley",QB,6026,212,4.63,19.5,29
"Shimonek, Nik",QB,6030,225,5.09,19.5,28.5
"Darnold, Sam",QB,6033,221,4.76,19.5,27
"Falk, Luke",QB,6035,215,4.98,19.5,27
"Rosen, Josh",QB,6040,226,4.9,19.5,31
"Lee, Tanner",QB,6042,218,4.9,19.5,32
"Rudolph, Mason",QB,6045,235,4.88,19.5,26
"White, Mike",QB,6045,201,4.79,19.5,27
"Allen, Josh",QB,6047,237,4.76,19.5,33
"Litton, Chase",QB,6050,215,4.84,19.5,30
"Hines, Nyheim",RB,5970,198,4.38,20,35.5
"Richard, Demario",RB,5970,218,4.7,12,29.5
"Edmonds, Chase",RB,5980,205,4.55,19,34
"Hicks, Kyle",RB,5980,202,4.63,13,36.5
"Walton, Mark",RB,5980,202,4.6,18,31.5
"Kelly, John",RB,5980,216,4.53,15,35
"Wadley, Akrum",RB,5980,194,4.54,12,32
"Thomas, Roc",RB,5990,198,4.56,16,35.5
"Guice, Derrius",RB,5990,224,4.49,15,31.5
"Michel, Sony",RB,5990,214,4.54,22,35.1
